gene    length  SV_pres
ac  917   1
Adc 2731 0
al  9327  0
ast 2855 1
c   42565  1
ca  8236  0
car 3382 0
cl  1247  1
cm  2139  1
cp  26899 0
ct  70431 1
cu  11041 0
Diap1   12624  0
dpp 31451    1
dpy 136838   1
dy  9015  1
e   7338   0
ed  84372 1
f   48022  1
g   9074   1
hry 3494 1
in  3061  0
kni 3048 1
m   15235  0
oc  20522 1
p   9781   0
pn  1705  1
pr  1739  1
px  67768 1
ras 4595 1
rb  4991  1
ru  16809 0
sc  1437  1
sd  23312 0
sn  22577 1
speck   18199  1
sr  44780 0
st  2809  1
Ubx 77803    1
upd3    7363    1
v	1659	1	
w   5867   1
y   4736   1
